Input,Target,No.,Expression
"On July 2008, a 59-year-old man, ex-smoker (45 packs/year), underwent upper right lung lobectomy and regional lymph adenectomy with the diagnosis of stage I (pT2, pN0) lung adenocarcinoma, solid pattern. On July 2020, the chest CT scan revealed the presence of an upper and lower left lung lobe lesions. On August 2020, the patient underwent a wedge resection of the upper and the lower lung lobes lesions with N1 and N2 nodal sampling.\nGross examination of the surgical specimens of the first atypical pulmonary resection of left inferior lobe revealed an Intraparenchymal, peripheral, solid, yellow-white lesion measuring 1.4 cm in greatest dimension. Histological assessment identified a well-circumscribed lesion composed of two different morphological components, tightly adhered but not intermingled each other. The first component represented about 60% of the whole neoplasm and was characterized by a solid and trabecular proliferation of polygonal-shaped uniform tumor cells","On July 2008, a 59-year-old man, ex-smoker (45 packs/year), underwent upper right lung lobectomy and regional lymph adenectomy with the diagnosis of stage I (pT2, pN0) lung adenocarcinoma, solid pattern. On July 2020, the chest CT scan revealed the presence of an upper left lung lobe lesions and lower left lung lobe lesions. On August 2020, the patient underwent a wedge resection of the upper lung lobes lesions and the lower lung lobes lesions with N1 nodal sampling and N2 nodal sampling.\nGross examination of the surgical specimens of the first atypical pulmonary resection of left inferior lobe revealed an Intraparenchymal, peripheral, solid, yellow-white lesion measuring 1.4 cm in greatest dimension. Histological assessment identified a well-circumscribed lesion composed of two different morphological components, tightly adhered but not intermingled each other. The first component represented about 60% of the whole neoplasm and was characterized by a solid and trabecular proliferation of polygonal-shaped uniform tumor cells",2,"upper and lower left lung lobe lesions;
N1 and N2 nodal sampling"
"After experiencing persistent pain and numbness in my ankles and calves, I decided to try [Medication Name]. I was pleasantly surprised by the noticeable improvement in my symptoms after just a few days of use. The medication effectively alleviated the discomfort and tingling sensations, allowing me to move around more comfortably throughout the day. Overall, I'm satisfied with the results and would recommend [Medication Name] to others experiencing similar issues.","After experiencing persistent pain in my ankles, pain in my calves and numbness in my ankles, numbness in my calves, I decided to try [Medication Name]. I was pleasantly surprised by the noticeable improvement in my symptoms after just a few days of use. The medication effectively alleviated the discomfort sensations and tingling sensations, allowing me to move around more comfortably throughout the day. Overall, I'm satisfied with the results and would recommend [Medication Name] to others experiencing similar issues.",2,"pain and numbness in my ankles and calves;
discomfort and tingling sensations"
"The patient presented with complaints of leg & knee pain upon admission. Following a thorough assessment and treatment regimen, including physical therapy and medication management, the patient experienced significant relief from the discomfort. Upon discharge, the patient reported improved mobility and reduced pain levels. Instructions for continued home care and follow-up appointments were provided to ensure ongoing support and recovery.","The patient presented with complaints of leg pain & knee pain upon admission. Following a thorough assessment and treatment regimen, including physical therapy and medication management, the patient experienced significant relief from the discomfort. Upon discharge, the patient reported improved mobility and reduced pain levels. Instructions for continued home care and follow-up appointments were provided to ensure ongoing support and recovery.",1,leg & knee pain
"The patient was admitted with complaints of elbow and arm pain / stiffness. Following comprehensive treatment, including physical therapy and medication management, the patient experienced notable improvement in their symptoms. Upon discharge, the patient reported decreased discomfort and increased range of motion in the affected elbow and arm. Detailed instructions for continued care at home and follow-up appointments were provided to support the patient's ongoing recovery.","The patient was admitted with complaints of elbow pain / elbow stiffness and arm pain / arm stiffness. Following comprehensive treatment, including physical therapy and medication management, the patient experienced notable improvement in their symptoms. Upon discharge, the patient reported decreased discomfort and increased range of motion in the affected elbow and arm. Detailed instructions for continued care at home and follow-up appointments were provided to support the patient's ongoing recovery.",1,elbow and arm pain / stiffness
"I felt muscle cramps in my lower legs and toes, I sought relief through [Medication Name]. I found that the medication effectively alleviated the cramping episodes, providing me with much-needed comfort and allowing me to resume my daily activities without interruption. Overall, I'm satisfied with the effectiveness of [Medication Name] in managing my muscle cramps and would recommend it to others experiencing similar issues.""","I felt muscle cramps in my lower legs and muscle cramps in my toes, I sought relief through [Medication Name]. I found that the medication effectively alleviated the cramping episodes, providing me with much-needed comfort and allowing me to resume my daily activities without interruption. Overall, I'm satisfied with the effectiveness of [Medication Name] in managing my muscle cramps and would recommend it to others experiencing similar issues.""",1,muscle cramps in my lower legs and toes
"I began taking [Medication Name] to manage my chronic pain condition. Initially, I was hopeful about its effectiveness in alleviating my discomfort. However, after a few weeks of use, I started experiencing adverse effects. Feelings of numbness in my arms and hands became increasingly frequent, which greatly affected my daily activities. Despite the medication providing some relief for my pain, the adverse reaction outweighed the benefits. Consequently, I had to discontinue its use and explore alternative treatment options.","I began taking [Medication Name] to manage my chronic pain condition. Initially, I was hopeful about its effectiveness in alleviating my discomfort. However, after a few weeks of use, I started experiencing adverse effects. Feelings of numbness in my arms and Feelings of numbness in my hands became increasingly frequent, which greatly affected my daily activities. Despite the medication providing some relief for my pain, the adverse reaction outweighed the benefits. Consequently, I had to discontinue its use and explore alternative treatment options.",1,numbness in my arms and hands
"When I started [Medication Name] to manage stress. While the medication initially provided some relief, I soon started experiencing side effects. After a few weeks of use, I noticed a concerning change in my health. Blood sugar and blood pressure both now increased, causing significant discomfort and worry. These side effects greatly impacted my overall well-being and quality of life. Despite its effectiveness in managing my pain, the adverse reactions prompted me to consult with my healthcare provider and explore alternative treatment options.""","When I started [Medication Name] to manage stress. While the medication initially provided some relief, I soon started experiencing side effects. After a few weeks of use, I noticed a concerning change in my health. Blood sugar increased and blood pressure increased, causing significant discomfort and worry. These side effects greatly impacted my overall well-being and quality of life. Despite its effectiveness in managing my pain, the adverse reactions prompted me to consult with my healthcare provider and explore alternative treatment options.""",1,Blood sugar and blood pressure both now increased
"I initially started taking [Medication Name] to alleviate my stress and anxiety symptoms. While the medication helped me feel calmer initially, I began experiencing concerning side effects after a few days. One notable adverse reaction was that my fingers and toes began feeling numb and prickling. This sensation was uncomfortable and alarming, leading me to discontinue the medication. Despite its potential benefits for stress management, the onset of these adverse effects outweighed any relief it provided","I initially started taking [Medication Name] to alleviate my stress and anxiety symptoms. While the medication helped me feel calmer initially, I began experiencing concerning side effects after a few days. One notable adverse reaction was that my fingers began feeling numb, fingers began feeling prickling and toes began feeling numb, toes began feeling prickling. This sensation was uncomfortable and alarming, leading me to discontinue the medication. Despite its potential benefits for stress management, the onset of these adverse effects outweighed any relief it provided",2,"stress and anxiety symptoms;
fingers and toes began feeling numb and prickling"
"I started taking zoloft to manage my depression symptoms and initially noticed some improvement in my mood. However, after a few weeks of use, I began experiencing side effect including sore back/neck. This discomfort was particularly bothersome and interfered with my daily activities. Despite the medication's potential benefits for depression, the onset of these adverse reactions prompted me to discuss alternative treatment options with my healthcare provider.","I started taking zoloft to manage my depression symptoms and initially noticed some improvement in my mood. However, after a few weeks of use, I began experiencing side effect including sore back/ sore neck. This discomfort was particularly bothersome and interfered with my daily activities. Despite the medication's potential benefits for depression, the onset of these adverse reactions prompted me to discuss alternative treatment options with my healthcare provider.",1,sore back/neck
"I think zoloft is not that bad,  I was hoping for some relief from the overwhelming sadness and low mood. While the medication initially seemed promising, I started experiencing unexpected side effects. One troubling adverse reaction was the development of a rash of hands and ankles. This rash caused discomfort and raised concerns about potential allergic reactions. Despite the medication's potential benefits for depression, the onset of these adverse effects prompted me to consult with my healthcare provider and explore alternative treatment options","I think zoloft is not that bad,  I was hoping for some relief from the overwhelming sadness and low mood. While the medication initially seemed promising, I started experiencing unexpected side effects. One troubling adverse reaction was the development of a rash of hands and rash of ankles. This rash caused discomfort and raised concerns about potential allergic reactions. Despite the medication's potential benefits for depression, the onset of these adverse effects prompted me to consult with my healthcare provider and explore alternative treatment options",1,rash of hands and ankles
"I started using [medication name] to chill out and ease my stress levels. At first, it seemed like it was doing the trick, but then things got real weird. I started feeling this weird vibe of just, like, total discomfort throughout every bone and muscle. It was freakin' annoying, man! Like, couldn't even relax properly with all that going on. So yeah, I ditched that stuff real quick and looked for something else to help me chill without all the weird side effects","I started using [medication name] to chill out and ease my stress levels. At first, it seemed like it was doing the trick, but then things got real weird. I started feeling this weird vibe of just, like, total discomfort throughout every bone and discomfort throughout every muscle. It was freakin' annoying, man! Like, couldn't even relax properly with all that going on. So yeah, I ditched that stuff real quick and looked for something else to help me chill without all the weird side effects",1,discomfort throughout every bone and muscle
"The patient underwent genetic testing due to a family history of cancer. The results showed a mutation in the BRCA1 gene, indicating an increased risk of breast and/or ovarian cancer and tumor development.","The patient underwent genetic testing due to a family history of cancer. The results showed a mutation in the BRCA1 gene, indicating an increased risk of breast cancer, ovarian cancer breast tumour, ovarian tumour development.",1,breast and/or ovarian cancer and tumor
"The genetic counselor discussed the patient's family history of cancer, particularly focusing on inherited breast and ovarian cancers. The patient expressed concern about hereditary risk factors and their implications for her health.","The genetic counselor discussed the patient's family history of cancer, particularly focusing on inherited breast cancers inherited ovarian cancers. The patient expressed concern about hereditary risk factors and their implications for her health.",1,breast and ovarian cancers
"During the examination, the patient presented with noticeable symptoms, including overgrowth of oral mucosa and facial skin. These symptoms raised concerns about potential underlying medical conditions, prompting further investigation and evaluation by the healthcare team","During the examination, the patient presented with noticeable symptoms, including Overgrowth of oral mucosa overgrowth of facial skin. These symptoms raised concerns about potential underlying medical conditions, prompting further investigation and evaluation by the healthcare team",1,overgrowth of oral mucosa and facial skin
"Key findings from the assessment included abnormalities of eyes, nervous system, and kidneys. These observations underscore the need for further investigation into potential underlying conditions affecting these areas","Key findings from the assessment included abnormalities of eyes abnormalities of nervous system, abnormalities of kidneys. These observations underscore the need for further investigation into potential underlying conditions affecting these areas",1,"abnormalities of eyes, nervous system, and kidneys."
"In a recent neuroimaging report, the findings revealed the presence of bilateral and multi-centric hemangioblastomas in the brain of a 45-year-old male patient. These tumors, characterized by their vascular nature, were observed in various regions of the brain, including the cerebellum and brainstem. The report suggests that the patient's symptoms, which included headaches and difficulty with balance, may be attributed to the presence of these tumors.","In a recent neuroimaging report, the findings revealed the presence of bilateral hemangioblastoma, multi-centric hemangioblastoma in the brain of a 45-year-old male patient. These tumors, characterized by their vascular nature, were observed in various regions of the brain, including the cerebellum and brainstem. The report suggests that the patient's symptoms, which included headaches and difficulty with balance, may be attributed to the presence of these tumors.",1,bilateral and multi-centric hemangioblastomas
"Patients with a family history of breast or ovarian cancer may undergo genetic testing to identify the presence of BRCA1 or BRCA2 mutations. If these mutations are detected, patients are considered to have hereditary breast and/or ovarian cancer syndrome. It's important to note that not all individuals with a family history of these cancers will carry these mutations, and conversely, not all individuals with these mutations will develop cancer.","Patients with a family history of breast cancer, ovarian cancer may undergo genetic testing to identify the presence of BRCA1 mutations or BRCA2 mutations. If these mutations are detected, patients are considered to have hereditary breast cancer syndrome, hereditary ovarian cancer syndrome. It's important to note that not all individuals with a family history of these cancers will carry these mutations, and conversely, not all individuals with these mutations will develop cancer.",3,"breast or ovarian cancer;
BRCA1 or BRCA2 mutations;
hereditary breast and/or ovarian cancer syndrome"
"Metastatic disease (M1)/stage 4 NSCLC 
Pleural or pericardial effusion greater than 100 ml in volume as documented by appropriate imaging (positron emission tomography [PET], computed tomography [CT] scan or ultrasound). If an effusion greater than 100 ml is documented by cytology to be free from malignancy and the investigator feels the patient is capable of receiving chemo/radiotherapy for their primary disease/ NSCLC, the investigator should discuss the patient with the study physician at Amgen. Effusions smaller than 100 ml would be acceptable, unless the investigator suspects that the effusion is malignant, in which case the effusions should be evaluated by cytology. Sponsor approval must be obtained before patient is randomized. 
Plan to remove the tumor surgically before completing the protocol chemo/radiotherapy course 
Shielding of any part of the esophagus during radiotherapy (including posterior spinal cord shielding) 
Prior chemotherapy, radiotherapy, or surgery for NSCLC 
Prior invasive malignancy during the past 3 years other than non-melanomatous skin cancer. Note: Patients with prior surgically-cured malignancies [eg, stage I or I I breast cancer, in-situ carcinoma of the cervix, etc] are not excluded; however, sponsor approval must be obtained before patient is randomized. 
Presence or history of dysphagia or conditions predisposing to dysphagia (eg, uncontrolled gastroesophageal reflux disease [GERD], dyspepsia, etc) 
History of pancreatitis","Metastatic disease (M1)/stage 4 NSCLC 
Pleural effusion or pericardial effusion greater than 100 ml in volume as documented by appropriate imaging (positron emission tomography [PET], computed tomography [CT] scan or ultrasound). If an effusion greater than 100 ml is documented by cytology to be free from malignancy and the investigator feels the patient is capable of receiving chemotherapy/radiotherapy for their primary disease/ NSCLC, the investigator should discuss the patient with the study physician at Amgen. Effusions smaller than 100 ml would be acceptable, unless the investigator suspects that the effusion is malignant, in which case the effusions should be evaluated by cytology. Sponsor approval must be obtained before patient is randomized. 
Plan to remove the tumor surgically before completing the protocol chemotherapy/radiotherapy course 
Shielding of any part of the esophagus during radiotherapy (including posterior spinal cord shielding) 
Prior chemotherapy, radiotherapy, or surgery for NSCLC 
Prior invasive malignancy during the past 3 years other than non-melanomatous skin cancer. Note: Patients with prior surgically-cured malignancies [eg, stage I breast cancer I I breast cancer, in-situ carcinoma of the cervix, etc] are not excluded; however, sponsor approval must be obtained before patient is randomized. 
Presence or history of dysphagia or conditions predisposing to dysphagia (eg, uncontrolled gastroesophageal reflux disease [GERD], dyspepsia, etc) 
History of pancreatitis",3,"chemo/radiotherapy;
chemo/radiotherapy;
stage I or I I breast cancer"
"Progression on or failure to respond to at least one previous chemotherapy regimen for metastatic disease 
Progression on prior therapy with a hormonal agent if estrogen or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive. If patient has progressed through hormone or trastuzumab therapy only, must have received one chemotherapy regimen. 
Measurable metastatic disease as defined by Response Evaluation Criteria in Solid Tumors (RECIST) 
Primary tumor must have been diagnosed histologically as either epithelial ovarian, fallopian tube, or primary peritoneal cancer (not borderline or low malignant potential epithelial carcinoma). 
Subjects must have failed at least two previous chemotherapy regimens. Paclitaxel must have been a component of one or both regimens and cisplatin or carboplatin must have been a component of one or both regimens. 
Measurable metastatic disease 
Histologically proven recurrent or persistent endometrial cancer that is not amenable to curative treatment with surgery and/or radiation therapy AND has failed 2 previous treatment regimens 
Measurable metastatic disease 
Histologically proven recurrent or persistent squamous cell carcinoma, adenosquamous carcinoma, or adenocarcinoma of the cervix that is not amenable to curative treatment with surgery and/or radiation therapy AND has failed 2 previous treatment regimens.","Progression on or failure to respond to at least one previous chemotherapy regimen for metastatic disease 
Progression on prior therapy with a hormonal agent if estrogen receptor or progesterone receptor positive, and/or with trastuzumab if HER2-neu positive. If patient has progressed through hormone or trastuzumab therapy only, must have received one chemotherapy regimen. 
Measurable metastatic disease as defined by Response Evaluation Criteria in Solid Tumors (RECIST) 
Primary tumor must have been diagnosed histologically as either epithelial ovarian cancer, fallopian tube cancer, or primary peritoneal cancer (not borderline or low malignant potential epithelial carcinoma). 
Subjects must have failed at least two previous chemotherapy regimens. Paclitaxel must have been a component of one or both regimens and cisplatin or carboplatin must have been a component of one or both regimens. 
Measurable metastatic disease 
Histologically proven recurrent endometrial cancer or persistent endometrial cancer that is not amenable to curative treatment with surgery and/or radiation therapy AND has failed 2 previous treatment regimens 
Measurable metastatic disease 
Histologically proven recurrent or persistent squamous cell carcinoma, adenosquamous carcinoma, or adenocarcinoma of the cervix that is not amenable to curative treatment with surgery and/or radiation therapy AND has failed 2 previous treatment regimens.",3,"estrogen or progesterone receptor;
epithelial ovarian, fallopian tube, or primary peritoneal cancer;
recurrent or persistent endometrial cancer"
"I was prescribed Cymbalta as a possible alternative to Klonopin, which I have taken for over ten years.  I took my first and ONLY dose of Cymbalta (60 mg) at 8:00 AM yesterday after breakfast.  Almost immediately I started to sweat, began to feel very ill, and proceeded to throw up all morning and into the early afternoon.  I could barely move or get out of bed.  At one point I was certain that I was having heart failure, because my entire body seized up and I could not move or speak.  It took me a day and a half to finally sleep, and I couldn't eat or drink anything until around 9:00 this evening (juice and some crackers).  I still feel dizzy and nauseated, and my hands and feet are tingling and itching.  The only reason I'm sitting up at all is so I can warn others NOT to use Cymbalta.  This stuff is like rat poison!!!  AVOID IT AT ANY COST!!!","I was prescribed Cymbalta as a possible alternative to Klonopin, which I have taken for over ten years.  I took my first and ONLY dose of Cymbalta (60 mg) at 8:00 AM yesterday after breakfast.  Almost immediately I started to sweat, began to feel very ill, and proceeded to throw up all morning and into the early afternoon.  I could barely move or get out of bed.  At one point I was certain that I was having heart failure, because my entire body seized up and I could not move or could not speak.  It took me a day and a half to finally sleep, and I couldn't eat or drink anything until around 9:00 this evening (juice and some crackers).  I still feel dizzy and nauseated, and my hands are tingling and feet are tingling and hands are itching and feet are itching.  The only reason I'm sitting up at all is so I can warn others NOT to use Cymbalta.  This stuff is like rat poison!!!  AVOID IT AT ANY COST!!!",3,"could not move or speak;
couldn't eat or drink;
hands and feet are tingling and itching"
"I have only taken cymbalta twice and am going to stop now before my symptoms get worse.  I feel a lot worse than I did before taking it.  I constantly feel as if I am on the verge of a panic attack,  I feel like sleeping all day, but have difficulty sleeping for more than 1 hour at a time even during the night.  I have aches and pains as if I have the flu, achiness, tiredness, restlessness, blurry vision, tingling in arms, legs and hands, increased anxiety, high blood pressure, belching, heartburn, loss of appetite, strange taste in mouth, alternating hot and cold spells, headaches, loss of feeling during sex","I have only taken cymbalta twice and am going to stop now before my symptoms get worse.  I feel a lot worse than I did before taking it.  I constantly feel as if I am on the verge of a panic attack,  I feel like sleeping all day, but have difficulty sleeping for more than 1 hour at a time even during the night.  I have aches and pains as if I have the flu, achiness, tiredness, restlessness, blurry vision, tingling in arms, tingling in legs and tingling in hands, increased anxiety, high blood pressure, belching, heartburn, loss of appetite, strange taste in mouth, alternating hot spells and cold spells, headaches, loss of feeling during sex",1,hot and cold spells
"The first 2 months it seemed to be fine, then the terrible night sweats came,the headaches,dizziness, out of sorts feeling came. Since last November my tendons on both arms started hurting by the elbow, then came extreme fatigue, heaviness and pain in the calves of my legs came. Not to mention the acid reflux, having bowel movements 5 times in the morning,abdominal cramping, couldent eat, no appetite. Had stomach checked with upper GI and colonoscopy. Now I have an erosive esophagus. My doctor at the time sent me to 2 ENT doctors a Rhuemotogist, went to ER in Dec and Jan. Forgot to mention stuffed up nose and constant cough. Changed my primary care Dr, had tests on my heart, ultra sound in legs,  so now I have fast heart rate,poor circulation. As of last Sunday I don't take the cymbalta any longer. But I still have bad pain in my right arm, legs and feet, the pain is heaviness and electic shocks. The sweating  stopped,  I still have diarreha, and nausea and pain all over my body. I do have scolosis in my T spine. Hips hurt joints in feet snap crackle and pop, from time to time dizziness and headache. It's been 1 week since I quit taking this poison. I'm afraid that my legs will never be the same. I","The first 2 months it seemed to be fine, then the terrible night sweats came,the headaches,dizziness, out of sorts feeling came. Since last November my tendons on both arms started hurting by the elbow, then came extreme fatigue, heaviness in the calves of my legs and pain in the calves of my legs came. Not to mention the acid reflux, having bowel movements 5 times in the morning,abdominal cramping, couldent eat, no appetite. Had stomach checked with upper GI and colonoscopy. Now I have an erosive esophagus. My doctor at the time sent me to 2 ENT doctors a Rhuemotogist, went to ER in Dec and Jan. Forgot to mention stuffed up nose and constant cough. Changed my primary care Dr, had tests on my heart, ultra sound in legs,  so now I have fast heart rate,poor circulation. As of last Sunday I don't take the cymbalta any longer. But I still have bad pain in my right arm, pain in legs and pain in feet, the pain is heaviness and electic shocks. The sweating  stopped,  I still have diarreha, and nausea and pain all over my body. I do have scolosis in my T spine. Hips hurt joints in feet snap crackle and pop, from time to time dizziness and headache. It's been 1 week since I quit taking this poison. I'm afraid that my legs will never be the same. I",2,"heaviness and pain in the calves of my legs;
pain in my right arm, legs and feet"
"I would never ever take this drug again, nor would I recommend this to ANYONE!!  This is a BAD drug, they should have better warnings about the side effects. I turned into a raging maniac, i had nausea, cold/hot flashes.  I felt out of control, & disorientated. Also, headache,crying, insomnia, and I can't tell you all the side effects.","I would never ever take this drug again, nor would I recommend this to ANYONE!!  This is a BAD drug, they should have better warnings about the side effects. I turned into a raging maniac, i had nausea, cold flashes /hot flashes.  I felt out of control, & disorientated. Also, headache,crying, insomnia, and I can't tell you all the side effects.",1,cold/hot flashes
"Switched to Cymbalta because of claims that it helps with pain. Side effects were terrible. My prescribing MD assured that a second increase in dosage was needed. He believed the drug rep but not me. Finally, was able to see a board certified psychiatrist and switched to Lexapro.  Huge improvement and almost instant end to leg spasams. The industry needs more honesty about Cymbalta side effects-it made my liffe a livng hell for 2 years. Wonder how much those drug reps make per year in bonuses. The side effects are agitation; hostility; suicidial thoughts; increased pain and depression; muscle spasams in legs and feet; dry eye and mouth; increased blood pressure; heart palpitations; increased anxiety, etc.","Switched to Cymbalta because of claims that it helps with pain. Side effects were terrible. My prescribing MD assured that a second increase in dosage was needed. He believed the drug rep but not me. Finally, was able to see a board certified psychiatrist and switched to Lexapro.  Huge improvement and almost instant end to leg spasams. The industry needs more honesty about Cymbalta side effects-it made my liffe a livng hell for 2 years. Wonder how much those drug reps make per year in bonuses. The side effects are agitation; hostility; suicidial thoughts; increased pain and increased depression; muscle spasams in legs and muscle spasams in feet; dry eye and dry mouth; increased blood pressure; heart palpitations; increased anxiety, etc.",1,muscle spasams in legs and feet
"I felt as if i am in hell, it was so scary that i 'd rather be depressed and anxious. I felt like as if i am watching my life from outside, unbearable pressure and headaches in the evening, non stop nausea, no appetite, hot flashes and shivering, clamsy hands, tingling on arms and legs,electric shocks, disorientated,loss of concious memory, nigtmares, fatigue, more depressed than ever,no sex drive,i felt like a zombie in hell. When i quit could not eat for days,nausea feeling sick. Dont ever take it,it is not worth it..","I felt as if i am in hell, it was so scary that i 'd rather be depressed and anxious. I felt like as if i am watching my life from outside, unbearable pressure and unbearable headaches in the evening, non stop nausea, no appetite, hot flashes and shivering, clamsy hands, tingling on arms and tingling on legs,electric shocks, disorientated,loss of concious memory, nigtmares, fatigue, more depressed than ever,no sex drive,i felt like a zombie in hell. When i quit could not eat for days,nausea feeling sick. Dont ever take it,it is not worth it..",2,"unbearable pressure and headaches;
tingling on arms and legs"
"Conner's ADHD / DSM-IV Scale for Parents is a diagnostic tool designed to assess Attention-Deficit/Hyperactivity Disorder (ADHD) symptoms in children based on criteria outlined in the DSM-IV (Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition). To be eligible to use this scale, the following criteria typically apply: Age Range: The scale is intended for use with children and adolescents typically aged 6 to 18 years. It may not be suitable for younger children or adults.","Conner's ADHD Scale for Parents, Conner’s DSM-IV Scale for Parents is a diagnostic tool designed to assess Attention-Deficit/Hyperactivity Disorder (ADHD) symptoms in children based on criteria outlined in the DSM-IV (Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition). To be eligible to use this scale, the following criteria typically apply: Age Range: The scale is intended for use with children and adolescents typically aged 6 to 18 years. It may not be suitable for younger children or adults.",1,Conner's ADHD / DSM-IV Scale for Parents
"Cytochrome P450 enzymes play a crucial role in the metabolism of many medications, and among them, CYP3A4 is one of the most important. It is responsible for the oxidation of small foreign organic molecules, such as toxins or drugs, so they can be removed from the body. CYP3A4 inducers or inhibitors can significantly alter the metabolism of drugs that are substrates of this enzyme.","Cytochrome P450 enzymes play a crucial role in the metabolism of many medications, and among them, CYP3A4 is one of the most important. It is responsible for the oxidation of small foreign organic molecules, such as toxins or drugs, so they can be removed from the body. CYP3A4 inducers or CYP3A4 inhibitors can significantly alter the metabolism of drugs that are substrates of this enzyme.",1,CYP3A4 inducers or inhibitors
"Diabetic eye disease is a leading cause of blindness among adults, with diabetic retinopathy being one of the most common conditions affecting the eyes. In its early stages, diabetic retinopathy is often asymptomatic; however, as the disease progresses, it can lead to more severe forms such as proliferative retinopathy / maculopathy. Proliferative retinopathy is characterized by the growth of new, abnormal blood vessels on the retina's surface, which can lead to severe vision problems or blindness if left untreated.","Diabetic eye disease is a leading cause of blindness among adults, with diabetic retinopathy being one of the most common conditions affecting the eyes. In its early stages, diabetic retinopathy is often asymptomatic; however, as the disease progresses, it can lead to more severe forms such as proliferative retinopathy / proliferative maculopathy. Proliferative retinopathy is characterized by the growth of new, abnormal blood vessels on the retina's surface, which can lead to severe vision problems or blindness if left untreated.",1,proliferative retinopathy / maculopathy
"Patients diagnosed with severe chronic illnesses often face complex treatment regimens and potential complications that significantly impact their quality of life. In particular, those with life-limiting immunosuppressive or autoimmune diseases encounter unique challenges. These conditions, which include systemic lupus erythematosus, multiple sclerosis, and rheumatoid arthritis diseases, which can lead to compromised immune systems either due to the disease itself or as a result of treatments involving immunosuppressive medications.","Patients diagnosed with severe chronic illnesses often face complex treatment regimens and potential complications that significantly impact their quality of life. In particular, those with life-limiting immunosuppressive diseases or life-limiting autoimmune diseases encounter unique challenges. These conditions, which include systemic lupus erythematosus diseases, multiple sclerosis diseases, and rheumatoid arthritis diseases, which can lead to compromised immune systems either due to the disease itself or as a result of treatments involving immunosuppressive medications.",2,"life-limiting immunosuppressive or autoimmune diseases;
systemic lupus erythematosus, multiple sclerosis, and rheumatoid arthritis diseases"
"The patient is a 39-year-old male with a known history of chronic HBV/HIV infection, first diagnosed in 2015. He reports increasing fatigue over the past month, accompanied by occasional episodes of nausea and jaundice. The patient denies any recent changes in his antiretroviral therapy regimen. He has been adherent to his prescribed medications but reports increased stress and irregular meal patterns due to recent job changes.
","The patient is a 39-year-old male with a known history of chronic HBV infection/ chronic HIV infection, first diagnosed in 2015. He reports increasing fatigue over the past month, accompanied by occasional episodes of nausea and jaundice. The patient denies any recent changes in his antiretroviral therapy regimen. He has been adherent to his prescribed medications but reports increased stress and irregular meal patterns due to recent job changes.",1,chronic HBV/HIV infection
"During the past three visits, the mean systolic/diastolic office blood pressure was recorded as 152/93 mmHg, indicating suboptimal control of hypertension.","During the past three visits, the mean diastolic office blood pressure/mean systolic office blood pressure was recorded as 152/93 mmHg, indicating suboptimal control of hypertension.",1,mean systolic/diastolic office blood pressure
"44-year-old male who presents with persistent fatigue and joint pain affecting his knees and elbows. He notes that the symptoms have gradually worsened and are now interfering with his daily activities. There is no reported swelling or redness in the joints. He denies any recent infections, fever, or significant weight loss. Physical exam: Musculoskeletal: Mild tenderness in knees and elbows, no swelling or erythema
","44-year-old male who presents with persistent fatigue and joint pain affecting his knees and joint pain affecting his elbows. He notes that the symptoms have gradually worsened and are now interfering with his daily activities. There is no reported swelling in the joints or redness in the joints. He denies any recent infections, fever, or significant weight loss. Physical exam: Musculoskeletal: Mild tenderness in knees and Mild tenderness in elbows, no swelling or erythema",3,"joint pain affecting his knees and elbows; 
swelling or redness in the joints;
Mild tenderness in knees and elbows"
"The patient has a history of cardiovascular, endocrinologic, neurologic, or immunologic disease. Specifically, he has been diagnosed with hypertension and type 2 diabetes mellitus. There is a family history of cardiovascular disease, and he was recently evaluated for possible multiple sclerosis.","The patient has a history of cardiovascular disease, neurologic disease, endocrinologic disease|immunologic disease. Specifically, he has been diagnosed with hypertension and type 2 diabetes mellitus. There is a family history of cardiovascular disease, and he was recently evaluated for possible multiple sclerosis.
",1,"cardiovascular, endocrinologic, neurologic, or immunologic disease"
"The clinical presentation and recent catheterization suggest the presence of a false / pseudo aneurysm at the catheter insertion site. A pseudoaneurysm occurs when blood leaks out of an artery but is contained by the surrounding tissue, forming a sac-like structure.","The clinical presentation and recent catheterization suggest the presence of a false aneurysm/ pseudo aneurysm at the catheter insertion site. A pseudoaneurysm occurs when blood leaks out of an artery but is contained by the surrounding tissue, forming a sac-like structure.",1,false / pseudo aneurysm
